epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,3.22865,1.29724,2.22575,2.93374,0.11596,0.98812,1,0.995,0.82187,0.65343,0.9958,2.25303,0.05549,0.0002,0.0002,0.0002
2,4.58091,1.06773,1.27123,2.30002,0.09324,0.79798,1,0.98885,0.81178,0.83588,1.52425,1.80297,0.0633,0.00040812,0.00040812,0.00040812
3,5.94141,1.08193,1.08324,2.08047,0.08693,0.9868,1,0.995,0.87318,0.57917,0.84942,1.58093,0.07939,0.000603794,0.000603794,0.000603794
4,7.35238,0.95048,0.95882,2.03197,0.07218,0.99574,1,0.995,0.87651,0.57394,0.8123,1.60409,0.03787,0.000787023,0.000787023,0.000787023
5,8.76138,1.0051,0.93475,2,0.05435,0.9957,1,0.995,0.8532,0.5935,0.75098,1.57966,0.03092,0.000957806,0.000957806,0.000957806
6,10.0982,0.92417,0.82717,1.76751,0.05706,0.9933,1,0.995,0.89603,0.54792,0.79173,1.38995,0.05148,0.00111614,0.00111614,0.00111614
7,11.4748,0.83322,0.79453,1.77854,0.05836,0.99534,1,0.995,0.89545,0.48879,0.73696,1.35428,0.08755,0.00126203,0.00126203,0.00126203
8,12.7916,0.89118,0.78768,1.74906,0.07229,0.99591,1,0.995,0.90063,0.42258,0.58285,1.32904,0.04299,0.00139548,0.00139548,0.00139548
9,14.1862,0.91187,0.75843,1.71466,0.08214,0.99581,1,0.995,0.88925,0.55484,0.46284,1.6537,0.03464,0.00151648,0.00151648,0.00151648
10,15.5114,0.86269,0.70565,1.75343,0.06868,0.99568,1,0.995,0.88536,0.5073,0.46655,1.43445,0.04006,0.00149086,0.00149086,0.00149086
11,16.857,0.87189,0.7231,1.7252,0.07558,0.99525,1,0.995,0.89299,0.45962,0.43948,1.33311,0.03975,0.00143429,0.00143429,0.00143429
12,18.1839,0.84548,0.66247,1.73162,0.06352,0.99569,1,0.995,0.9311,0.4455,0.39447,1.30358,0.04621,0.00137771,0.00137771,0.00137771
13,19.6041,0.85384,0.70755,1.70844,0.06061,0.99523,1,0.995,0.94132,0.43257,0.42742,1.32417,0.0862,0.00132114,0.00132114,0.00132114
14,20.9895,0.82749,0.69661,1.67929,0.06294,0.99532,1,0.995,0.92248,0.47014,0.41943,1.35758,0.0574,0.00126457,0.00126457,0.00126457
15,22.3157,0.78168,0.6438,1.60311,0.05237,0.99567,1,0.995,0.94464,0.36897,0.36831,1.23669,0.01273,0.001208,0.001208,0.001208
16,23.7092,0.72971,0.60238,1.55277,0.0505,0.99574,1,0.995,0.95825,0.35594,0.35651,1.2143,0.01302,0.00115143,0.00115143,0.00115143
17,25.0914,0.73118,0.60663,1.58094,0.05131,0.99573,1,0.995,0.97385,0.33466,0.34272,1.20748,0.01159,0.00109486,0.00109486,0.00109486
18,26.5081,0.72356,0.58526,1.58281,0.05446,0.99555,1,0.995,0.93686,0.35215,0.35968,1.23891,0.01496,0.00103829,0.00103829,0.00103829
19,27.9368,0.71066,0.57569,1.63253,0.0421,0.99557,1,0.995,0.94509,0.37811,0.38449,1.25758,0.02125,0.000981714,0.000981714,0.000981714
20,29.2749,0.69542,0.5841,1.55073,0.03779,0.99577,1,0.995,0.94351,0.37866,0.35737,1.2556,0.01831,0.000925143,0.000925143,0.000925143
21,30.5911,0.70176,0.58445,1.58595,0.04212,0.99577,1,0.995,0.95301,0.33129,0.27396,1.20941,0.00667,0.000868571,0.000868571,0.000868571
22,31.935,0.72202,0.58149,1.56916,0.03269,0.99577,1,0.995,0.96806,0.31424,0.25941,1.18627,0.01489,0.000812,0.000812,0.000812
23,33.2733,0.64366,0.50784,1.49375,0.03938,1,1,0.995,0.9692,0.33842,0.29096,1.22362,0.00901,0.000755429,0.000755429,0.000755429
24,34.6004,0.68006,0.55014,1.51492,0.03602,1,1,0.995,0.96162,0.32579,0.26897,1.23618,0.00586,0.000698857,0.000698857,0.000698857
25,35.9548,0.66948,0.55102,1.50054,0.0337,0.99569,1,0.995,0.94694,0.31567,0.27089,1.18702,0.00337,0.000642286,0.000642286,0.000642286
26,37.8331,0.46413,0.43131,1.49169,0.02628,0.99573,1,0.995,0.94694,0.31185,0.28148,1.1574,0.00588,0.000585714,0.000585714,0.000585714
27,39.1889,0.45167,0.42431,1.45926,0.03028,0.9957,1,0.995,0.94758,0.31443,0.2807,1.15482,0.00791,0.000529143,0.000529143,0.000529143
28,40.5291,0.43078,0.39577,1.39417,0.02036,0.99567,1,0.995,0.9774,0.29052,0.27517,1.16014,0.00808,0.000472571,0.000472571,0.000472571
29,41.9225,0.38758,0.37853,1.33527,0.02657,1,1,0.995,0.9858,0.27214,0.25549,1.13988,0.00713,0.000416,0.000416,0.000416
30,43.3105,0.38095,0.34992,1.28315,0.0241,1,1,0.995,0.99029,0.25707,0.23875,1.09905,0.00798,0.000359429,0.000359429,0.000359429
31,44.7266,0.43675,0.38493,1.37959,0.02728,1,1,0.995,0.995,0.28177,0.25488,1.10505,0.00825,0.000302857,0.000302857,0.000302857
32,46.0968,0.38974,0.35402,1.29273,0.02197,1,1,0.995,0.98746,0.2917,0.25725,1.1178,0.00819,0.000246286,0.000246286,0.000246286
33,47.4446,0.40232,0.36708,1.33959,0.02309,1,1,0.995,0.99029,0.25671,0.2292,1.09498,0.00833,0.000189714,0.000189714,0.000189714
34,48.7772,0.3839,0.35244,1.32112,0.01975,1,1,0.995,0.99029,0.24265,0.22401,1.08433,0.00866,0.000133143,0.000133143,0.000133143
35,50.134,0.3827,0.35226,1.3449,0.02506,1,1,0.995,0.99029,0.24071,0.22079,1.08087,0.00906,7.65714e-05,7.65714e-05,7.65714e-05
